2.03,21,121.79,12.14,4.39,0.47,0,0.01,194.54
2.05,21,115.8,12.84,3.61,0.49,0,0.01,195.63
2.05,21,98.39,13.88,4.38,0.52,0,0.01,162.58
2.06,21,101.39,13.72,4.49,0.53,0,0,0
2.06,21,106.67,12.23,4.37,0.56,0,0.01,183.77
2.06,21,108.33,14.7,4.79,0.51,0,0.01,201.15
2.08,21,98.24,13.73,3.85,0.5,0,0,0
2.08,21,114.25,13.03,3.62,0.5,0,0.01,156.64
2.08,21,103.2,12.44,4.56,0.53,0,0,0
2.08,21,114.39,12.92,4.61,0.51,0,0.01,194.47
2.08,21,108.39,13,4.65,0.51,0,0.01,148.32
2.08,21,116.42,13.07,4.91,0.54,0,0.01,186.85
2.08,21,101.59,13.2,4.05,0.51,0,0,0
2.09,21,119.19,12.92,3.93,0.53,0,0.01,162.1
2.09,21,94.99,14.1,4.22,0.55,0,0,0
2.09,21,96.99,13.6,4.08,0.53,0,0,0
2.09,21,121.19,12.48,4.36,0.53,0,0.01,199.01
2.09,21,104.99,13.38,5.12,0.54,0,0,0
2.09,21,102.14,13.94,4.65,0.59,0,0.01,189.86
2.09,21,111.82,12.93,4.1,0.51,0,0.01,182.68
2.11,21,103.79,13.36,4.25,0.55,0,0.01,165.07
2.11,21,113.99,14.28,4.9,0.52,0,0.01,171.35
2.11,21,110.66,13.2,4.95,0.52,0,0.01,184.5
2.11,21,108.39,12.72,3.9,0.52,0,0.01,181.42
2.13,21,105.79,12.42,4.18,0.53,0,0,0
2.13,21,101.99,13.2,4.16,0.49,0,0,0
2.13,21,119.82,12.85,4.19,0.55,0,0.01,194.49
2.13,21,95.19,15.14,4.46,0.52,0,0,0
2.13,21,104.24,13.53,4.06,0.51,0,0,0
2.14,21,99.39,13.78,4.38,0.52,0,0,0
2.14,21,121.83,13.07,4.5,0.55,0,0.01,201.05
2.14,21,103.66,12.94,4.01,0.55,0,0.01,153.24
2.14,21,120.74,12.25,4.22,0.55,0,0.01,207.59
2.14,21,116,12.93,3.68,0.54,0,0.01,189.5
2.14,21,100.66,13.72,4.44,0.57,0,0.01,157.79
2.14,21,104.49,13.65,4.81,0.51,0,0,0
2.14,21,102.33,12.87,4.57,0.56,0,0.01,188.09
2.14,21,107.59,12.36,4.41,0.57,0,0.01,158.31
2.16,21,116.59,12.66,3.27,0.51,0,0.01,155.37
2.16,21,111.83,12.9,4.5,0.55,0,0.01,182.22
2.16,21,97.59,14.3,4.19,0.53,0,0,0
2.16,21,120.39,12.18,4.33,0.52,0,0.01,161.27
2.17,21,111.16,12.85,4.39,0.57,0,0.01,180.42
2.17,21,109.66,12.37,4.7,0.56,0,0.01,193.72
2.17,21,98.16,13.58,4.27,0.57,0,0.01,152.38
2.17,21,106.19,13.1,4.17,0.52,0,0.01,165.61
2.17,21,96.16,14.23,4.4,0.57,0,0.01,195.5
2.17,21,107.83,13.82,4.48,0.52,0,0.01,188.19
2.17,21,98.99,14.78,4.68,0.55,0,0,0
2.19,21,107.49,12.28,4.21,0.53,0,0,0
2.19,21,103.16,13.07,4.55,0.59,0,0.01,189.91
2.19,21,114.19,13.4,4.93,0.52,0,0.01,168.29
2.19,21,102.66,13.5,4.82,0.56,0,0.01,158.39
